Latitude,Longitude,Datum,Sample Duration,Pollutant Standard,Parameter Name,Metric Used,Method Name,Year,Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,Arithmetic Standard Dev,Local Site Name,Address,State Name,County Name,City Name
40.83606,-73.92009,WGS84,24 HOUR,,Sample Flow Rate- CV,Observed Values,R & P Model 2025 PM2.5 Sequent - Calculation,2008,Percent,117,96,0.324786,0.170651,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Sample Volume,Observed Values,R & P Model 2025 PM2.5 Sequent - Calculation,2008,Cubic meter,117,96,23.994017,0.030202,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Ambient Min Temperature,Observed Values,R & P Model 2025 PM2.5 Sequent - Electronic,2008,Degrees Centigrade,117,96,8.798291,9.318909,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Ambient Max Temperature,Observed Values,R & P Model 2025 PM2.5 Sequent - Electronic,2008,Degrees Centigrade,117,96,18.35641,10.458204,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Average Ambient Temperature,Observed Values,R & P Model 2025 PM2.5 Sequent - Electronic,2008,Degrees Centigrade,117,96,13.310256,9.669508,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Sample Min Baro Pressure,Observed Values,R & P Model 2025 PM2.5 Sequent - Barometric Sensor,2008,Millimeters (mercury),117,96,755.965812,6.195009,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Sample Max Baro Pressure,Observed Values,R & P Model 2025 PM2.5 Sequent - Barometric Sensor,2008,Millimeters (mercury),117,96,763.273504,5.979309,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Average Ambient Pressure,Observed Values,R & P Model 2025 PM2.5 Sequent - Barometric Sensor,2008,Millimeters (mercury),117,96,759.769231,6.007732,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Elapsed Sample Time,Observed Values,R & P Model 2025 PM2.5 Sequent - Calculation,2008,Minutes,117,96,1439.504274,1.910154,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,PM25 24-hour 1997,PM2.5 - Local Conditions,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2008,Micrograms/cubic meter (LC),116,95,13.522414,6.637667,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,PM25 24-hour 2006,PM2.5 - Local Conditions,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2008,Micrograms/cubic meter (LC),116,95,13.522414,6.637667,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,PM25 24-hour 2012,PM2.5 - Local Conditions,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2008,Micrograms/cubic meter (LC),116,95,13.522414,6.637667,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,PM25 24-hour 2024,PM2.5 - Local Conditions,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2008,Micrograms/cubic meter (LC),116,95,13.522414,6.637667,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,PM25 Annual 1997,PM2.5 - Local Conditions,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2008,Micrograms/cubic meter (LC),116,95,13.522414,6.637667,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,PM25 Annual 2006,PM2.5 - Local Conditions,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2008,Micrograms/cubic meter (LC),116,95,13.522414,6.637667,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,PM25 Annual 2012,PM2.5 - Local Conditions,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2008,Micrograms/cubic meter (LC),116,95,13.522414,6.637667,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,PM25 Annual 2024,PM2.5 - Local Conditions,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2008,Micrograms/cubic meter (LC),116,95,13.522414,6.637667,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.86585,-73.88083,WGS84,1 HOUR,,Wind Speed - Resultant,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,2008,Knots,8761,100,3.426401,2.100067,BOTANICAL GARDEN,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York
40.86585,-73.88083,WGS84,1 HOUR,,Wind Direction - Resultant,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,2008,Degrees Compass,8761,100,199.322794,112.368734,BOTANICAL GARDEN,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York
40.86585,-73.88083,WGS84,1 HOUR,,Outdoor Temperature,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2008,Degrees Fahrenheit,8783,100,54.34248,17.025447,BOTANICAL GARDEN,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York
40.86585,-73.88083,WGS84,1 HOUR,,Relative Humidity ,Observed Values,INSTRUMENTAL - HYGROTHERMOGRAPH ELEC OR MACH AVG,2008,Percent relative humidity,8761,100,72.646045,18.388481,BOTANICAL GARDEN,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York
40.86585,-73.88083,WGS84,1 HOUR,,Barometric pressure,Observed Values,INSTRUMENTAL - ANEROID,2008,Millibars,8783,100,1010.769099,8.690402,BOTANICAL GARDEN,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York
40.86585,-73.88083,WGS84,1 HOUR,,Rain/melt precipitation,Observed Values,BUCKET - CONTINUOUS OR INCREMENTAL,2008,Inches (rainfall),8769,100,0.004767,0.033611,BOTANICAL GARDEN,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Chromium VI (TSP) STP,Observed Values,ERG Chromium VI sampler - ION CHROMATOGRAPH UV VISIBLE,2008,Micrograms/cubic meter (25 C),59,97,2.3e-05,2.3e-05,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Chromium VI (TSP) STP,Observed Values,ERG Chromium VI sampler - ION CHROMATOGRAPH UV VISIBLE,2008,Micrograms/cubic meter (25 C),6,10,2.2e-05,3e-05,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Naphthalene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2008,Nanograms/cubic meter (25 C),28,93,125.539286,40.422467,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Acenaphthene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2008,Nanograms/cubic meter (25 C),28,93,7.720714,4.523215,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Acenaphthylene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2008,Nanograms/cubic meter (25 C),28,93,2.332214,2.540518,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Fluorene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2008,Nanograms/cubic meter (25 C),28,93,9.245357,4.850036,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Phenanthrene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2008,Nanograms/cubic meter (25 C),28,93,22.221786,11.431599,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Anthracene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2008,Nanograms/cubic meter (25 C),28,93,0.966714,0.809813,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Retene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2008,Nanograms/cubic meter (25 C),28,93,0.10325,0.082476,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,9-fluorenone (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2008,Nanograms/cubic meter (25 C),28,93,3.104286,2.267528,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Cyclopenta[cd]pyrene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2008,Nanograms/cubic meter (25 C),28,93,0.083679,0.166483,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Fluoranthene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2008,Nanograms/cubic meter (25 C),28,93,5.639286,2.564878,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Pyrene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2008,Nanograms/cubic meter (25 C),28,93,4.199286,2.045524,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Chrysene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2008,Nanograms/cubic meter (25 C),28,93,0.472964,0.351017,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Coronene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2008,Nanograms/cubic meter (25 C),28,93,0.216964,0.218071,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Perylene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2008,Nanograms/cubic meter (25 C),28,93,0.029125,0.047294,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
40.816,-73.902,WGS84,24 HOUR,,Benzo[a]anthracene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2008,Nanograms/cubic meter (25 C),28,93,0.223821,0.24511,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York
