Latitude,Longitude,Datum,Sample Duration,Pollutant Standard,Parameter Name,Metric Used,Method Name,Year,Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,Arithmetic Standard Dev,Local Site Name,Address,State Name,County Name,City Name
40.83606,-73.92009,WGS84,24 HOUR,,Chromium VI (TSP) STP,Observed Values,ERG Chromium VI sampler - ION CHROMATOGRAPH UV VISIBLE,2010,Micrograms/cubic meter (25 C),27,93,3.8e-05,2.1e-05,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Chromium VI (TSP) STP,Observed Values,ERG Chromium VI sampler - ION CHROMATOGRAPH UV VISIBLE,2010,Micrograms/cubic meter (25 C),1,3,2e-05,0.0,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Naphthalene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,173.272414,209.55316,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Acenaphthene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,11.056207,7.375024,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Acenaphthylene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,7.871448,32.287607,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Fluorene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,14.277586,17.282769,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Phenanthrene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,29.636207,36.074467,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Anthracene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,3.413586,12.172374,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Retene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,0.119514,0.062815,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,9-fluorenone (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,4.287241,3.134732,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Cyclopenta[cd]pyrene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,1.997414,10.214937,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Fluoranthene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,9.77069,15.086228,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Pyrene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,8.542414,20.978081,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Chrysene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,1.419138,5.270777,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Coronene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,0.664379,2.493537,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Perylene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,0.280938,1.271516,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Benzo[a]anthracene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,1.355517,6.627115,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Benzo[b]fluoranthene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,1.708897,7.120767,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Benzo[k]fluoranthene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,0.558414,2.490519,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Benzo[e]pyrene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,0.99269,4.082691,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,"Dibenzo[a,h]anthracene (TSP) STP",Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,0.129345,0.652461,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,"Benzo[g,h,i]perylene (TSP) STP",Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,1.390552,5.359381,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,Benzo[a]pyrene (TSP) STP,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,1.611621,7.903578,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,24 HOUR,,"Indeno[1,2,3-cd]pyrene (TSP) STP",Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2010,Nanograms/cubic meter (25 C),29,100,1.307648,5.657745,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
