Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,Arithmetic Standard Dev,Local Site Name,Address,State Name,County Name,City Name,,
40.83606,-73.92009,WGS84,PM2.5 Raw Data,1 HOUR,,Observed Values,PM2.5 SCC w/No Correction Factor - TEOM Gravimetric 50 deg C,2020,Micrograms/cubic meter (LC),8713,99,7.445759,4.910991,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York,,
40.83606,-73.92009,WGS84,PM2.5 Raw Data,24-HR BLK AVG,,Observed Values,,2020,Micrograms/cubic meter (LC),365,100,7.394247,3.039004,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York,,
40.83606,-73.92009,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,PM2.5 SCC w/Correction Factor - TEOM Gravimetric 50 deg C,2020,Micrograms/cubic meter (LC),8708,99,5.873921,5.703776,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York,,
40.83606,-73.92009,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24-HR BLK AVG,,Observed Values,,2020,Micrograms/cubic meter (LC),365,100,5.827945,3.800605,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York,,
40.816,-73.902,WGS84,Naphthalene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2020,Nanograms/cubic meter (25 C),35,57,64.362857,34.992798,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Acenaphthene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2020,Nanograms/cubic meter (25 C),35,57,3.230286,3.19909,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Acenaphthylene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2020,Nanograms/cubic meter (25 C),35,57,0.932514,1.948368,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Fluorene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2020,Nanograms/cubic meter (25 C),35,57,4.753857,4.227945,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Phenanthrene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2020,Nanograms/cubic meter (25 C),35,57,10.663143,9.612269,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Anthracene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2020,Nanograms/cubic meter (25 C),35,57,0.795194,0.884099,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
