Year,State Name,Ozone Average,Carbon Average,Nitrogen Average,Sulfur Average,PM2.5 Average,PM10 Average,Ozone AQI,Carbon AQI,Nitrogen AQI,Sulfur AQI,PM2.5 AQI,PM10 AQI,Overall AQI,Population,Renewable Vehicles,Non-Renewable Vehicles
2016,Alabama,0,0.3,19,2,10.5,18.8,0,3,18,3,54,17,54,4866.824,458800,3903800
2016,Alaska,0,0.5,18,8,5.3,16.6,0,6,17,11,29,15,29,742.575,61100,570700
2016,Arizona,0,0.4,21,9,8.2,36.1,0,5,20,13,46,33,46,6944.767,526000,4984500
2016,Arkansas,0,0.3,13,2,0.0,0.0,0,3,12,3,0,0,12,2991.815,340300,2194600
2016,California,0,0.3,14,1,8.1,28.7,0,3,13,1,45,26,45,39149.186,2547500,27951400
2016,Colorado,0,0.4,17,3,6.8,11.4,0,5,16,4,38,10,38,5543.844,438600,4407300
2016,Connecticut,0,0.3,16,1,7.2,12.3,0,3,15,1,40,11,40,3579.83,208800,2750600
2016,Delaware,0,0.3,18,1,7.7,0.0,0,3,17,1,43,0,43,949.989,80500,766800
2016,Florida,0,0.3,11,1,7.9,16.4,0,3,10,1,44,15,44,20627.237,1397700,14282500
2016,Georgia,0,0.5,23,3,10.9,16.7,0,6,22,4,54,15,54,10308.442,819100,7584400
2016,Hawaii,0,0.4,6,26,7.9,15.5,0,5,6,36,44,14,44,1428.885,71600,971100
2016,Idaho,0,0.3,17,4,5.2,16.6,0,3,16,6,29,15,29,1684.036,124400,1477300
2016,Illinois,0,0.2,21,3,9.5,21.5,0,2,20,4,52,20,52,12821.709,1126900,8949500
2016,Indiana,0,0.3,13,3,8.9,18.7,0,3,12,4,49,17,49,6637.898,627500,5012000
2016,Iowa,0,0.2,9,2,6.3,39.2,0,2,8,3,35,36,36,3133.21,395900,2526200
2016,Kansas,0,0.2,8,1,5.2,18.2,0,2,8,1,29,17,29,2912.977,278400,2185000
2016,Kentucky,0,0.3,11,1,9.0,15.4,0,3,10,1,50,14,50,4440.306,368300,3400500
2016,Louisiana,0,0.4,11,3,11.4,18.5,0,5,10,4,55,17,55,4681.346,488300,3199700
2016,Maine,0,0.2,7,1,6.5,11.8,0,2,7,1,36,11,36,1332.348,123900,1042700
2016,Maryland,0,0.2,17,1,7.3,0.0,0,2,16,1,41,0,41,6007.014,421900,4144300
2016,Massachusetts,0,0.2,13,1,6.2,0.0,0,2,12,1,34,0,34,6827.28,422700,4702900
2016,Michigan,0,0.3,15,2,9.1,21.2,0,3,14,3,51,19,51,9954.117,1264100,7093700
2016,Minnesota,0,0.2,12,1,5.8,21.0,0,2,11,1,32,19,32,5525.36,612500,4116500
2016,Mississippi,0,0.2,10,1,0.0,0.0,0,2,9,1,0,0,9,2990.595,291700,2185000
2016,Missouri,0,0.3,15,2,7.9,20.6,0,3,14,3,44,19,44,6091.384,656900,4791500
2016,Montana,0,0.2,2,1,6.2,14.8,0,2,2,1,34,13,34,1042.137,121900,838200
2016,Nebraska,0,0.3,0,2,8.0,22.2,0,3,0,3,44,20,44,1906.483,223700,1548700
2016,Nevada,0,0.3,22,1,7.6,19.1,0,3,21,1,42,17,42,2919.555,172900,2006600
2016,New Hampshire,0,0.2,5,1,5.6,9.5,0,2,5,1,31,9,31,1343.694,121500,1166900
2016,New Jersey,0,0.3,19,1,8.9,0.0,0,3,18,1,49,0,49,8873.584,561000,6112800
2016,New Mexico,0,0.2,11,1,7.6,25.8,0,2,10,1,42,23,42,2092.555,164200,1464300
2016,New York,0,0.2,18,1,5.5,0.0,0,2,17,1,31,0,31,19636.391,1080200,10204600
2016,North Carolina,0,0.3,11,1,8.3,11.9,0,3,10,1,46,11,46,10161.802,756700,7314600
2016,North Dakota,0,0.2,4,1,3.1,10.7,0,2,4,1,17,10,17,756.114,122000,618200
2016,Ohio,0,0.3,17,2,8.4,15.2,0,3,16,3,47,14,47,11640.06,1008300,8949700
2016,Oklahoma,0,0.2,12,2,7.7,16.8,0,2,11,3,43,15,43,3928.143,625900,3449000
2016,Oregon,0,0.3,15,0,0.0,0.0,0,3,14,0,0,0,14,4093.271,263900,3298200
2016,Pennsylvania,0,0.2,12,2,9.2,15.6,0,2,11,3,51,14,51,12788.468,888200,8990500
2016,Rhode Island,0,0.4,13,0,6.6,0.0,0,5,12,0,37,0,37,1057.816,56200,792200
2016,South Carolina,0,0.2,8,0,9.0,15.5,0,2,8,0,50,14,50,4963.031,415200,3917600
2016,South Dakota,0,0.2,6,0,4.9,19.5,0,2,6,0,27,18,27,863.693,118700,723400
2016,Tennessee,0,0.3,14,6,10.2,19.2,0,3,13,8,53,17,53,6651.277,495100,4910500
2016,Texas,0,0.3,11,2,8.8,0.0,0,3,10,3,49,0,49,27914.064,2822300,19206600
2016,Utah,0,0.4,10,1,6.3,0.0,0,5,9,1,35,0,35,3044.241,209800,2222900
2016,Vermont,0,0.2,10,0,4.8,0.0,0,2,9,0,27,0,27,624.366,62400,541800
2016,Virginia,0,0.3,13,1,8.1,0.0,0,3,12,1,45,0,45,8417.651,597300,6723100
2016,Washington,0,0.3,19,1,6.5,16.7,0,3,18,1,36,15,36,7299.961,468800,5601300
2016,West Virginia,0,0.3,0,3,8.6,14.4,0,3,0,4,48,13,48,1832.435,159900,1338500
2016,Wisconsin,0,0.2,12,2,0.0,10.4,0,2,11,3,0,9,11,5775.17,646100,4654900
2016,Wyoming,0,0.1,6,2,3.8,10.4,0,1,6,3,21,9,21,585.243,68100,518500
2017,Alabama,0,0.3,16,4,12.0,17.8,0,3,15,6,56,16,56,4877.989,509200,3882200
2017,Alaska,0,0.5,18,8,4.8,12.6,0,6,17,11,27,11,27,740.983,65300,550000
2017,Arizona,0,0.3,24,10,8.9,39.3,0,3,23,14,49,36,49,7048.088,593600,5127700
