Year,State Name,Ozone Average,Carbon Average,Nitrogen Average,Sulfur Average,PM2.5 Average,PM10 Average,Ozone AQI,Carbon AQI,Nitrogen AQI,Sulfur AQI,PM2.5 AQI,PM10 AQI,Overall AQI,Population
2000,Alabama,0,1.0,18,10,0.0,38.9,0,11,17,14,0,35,35,4452.173
2000,Alaska,0,1.4,0,0,0.0,0.0,0,16,0,0,0,0,16,627.963
2000,Arizona,0,1.0,34,10,0.0,45.9,0,11,32,14,0,42,42,5160.586
2000,Arkansas,0,1.2,17,8,0.0,0.0,0,14,16,11,0,0,16,2678.588
2000,California,0,0.7,25,4,0.0,20.8,0,8,24,6,0,19,24,33987.977
2000,Colorado,0,0.7,23,7,0.0,20.8,0,8,22,10,0,19,22,4326.921
2000,Connecticut,0,0.8,22,7,0.0,31.2,0,9,21,10,0,28,28,3411.777
2000,Delaware,0,0.6,28,11,0.0,0.0,0,7,26,15,0,0,26,786.373
2000,District Of Columbia,0,1.1,28,13,0.0,0.0,0,12,26,18,0,0,26,
2000,Florida,0,0.7,17,9,0.0,21.9,0,8,16,13,0,20,20,16047.515
2000,Georgia,0,0.7,21,8,0.0,26.6,0,8,20,11,0,24,24,8227.303
2000,Hawaii,0,0.5,7,8,0.0,0.0,0,6,7,11,0,0,11,1213.519
2000,Idaho,0,1.1,25,17,0.0,27.1,0,12,24,24,0,25,25,1299.43
2000,Illinois,0,0.8,27,12,0.0,0.0,0,9,25,17,0,0,25,12434.161
2000,Indiana,0,0.7,25,13,0.0,25.4,0,8,24,18,0,23,24,6091.866
2000,Iowa,0,0.5,7,6,0.0,26.9,0,6,7,8,0,24,24,2929.067
2000,Kansas,0,0.6,13,5,0.0,22.8,0,7,12,7,0,21,21,2693.681
2000,Kentucky,0,0.3,22,13,0.0,0.0,0,3,21,18,0,0,21,4049.021
2000,Louisiana,0,0.7,16,8,0.0,0.0,0,8,15,11,0,0,15,4471.885
2000,Maine,0,0.0,9,6,0.0,17.6,0,0,8,8,0,16,16,1277.072
2000,Maryland,0,0.6,23,13,0.0,0.0,0,7,22,18,0,0,22,5311.034
2000,Massachusetts,0,0.6,20,10,0.0,0.0,0,7,19,14,0,0,19,6361.104
2000,Michigan,0,0.3,22,11,0.0,34.4,0,3,21,15,0,31,31,9952.45
2000,Minnesota,0,0.6,22,3,0.0,0.0,0,7,21,4,0,0,21,4933.692
2000,Mississippi,0,0.3,12,5,0.0,23.0,0,3,11,7,0,21,21,2848.353
2000,Missouri,0,0.7,19,11,0.0,38.6,0,8,18,15,0,35,35,5607.285
2000,Montana,0,0.9,5,10,0.0,21.2,0,10,5,14,0,19,19,903.773
2000,Nebraska,0,0.6,0,1,0.0,0.0,0,7,0,1,0,0,7,1713.82
2000,Nevada,0,0.6,19,1,0.0,21.6,0,7,18,1,0,20,20,2018.741
2000,New Hampshire,0,0.6,14,8,0.0,0.0,0,7,13,11,0,0,13,1239.882
2000,New Jersey,0,0.9,31,8,0.0,0.0,0,10,29,11,0,0,29,8430.621
2000,New Mexico,0,0.6,15,6,0.0,27.7,0,7,14,8,0,25,25,1821.204
2000,New York,0,0.8,35,12,0.0,15.8,0,9,33,17,0,14,33,19001.78
