State Name,Ozone Average,Carbon Average,Nitrogen Average,Sulfur Average,PM2.5 Average,PM10 Average,Ozone AQI,Carbon AQI,Nitrogen AQI,Sulfur AQI,PM2.5 AQI,PM10 AQI,Overall AQI
Alabama,0,0.5,8,5,0.0,33.0,0,6,8,7,0,30,30
Alaska,0,1.1,0,0,0.0,0.0,0,12,0,0,0,0,12
Arizona,0,0.6,24,11,0.0,27.7,0,7,23,15,0,25,25
Arkansas,0,0.4,21,3,0.0,0.0,0,5,20,4,0,0,20
California,0,0.5,21,3,0.0,21.2,0,6,20,4,0,19,20
Colorado,0,0.6,18,6,0.0,25.6,0,7,17,8,0,23,23
Connecticut,0,0.8,25,7,0.0,40.4,0,9,24,10,0,37,37
Delaware,0,0.4,26,10,0.0,19.4,0,5,25,14,0,18,25
District Of Columbia,0,0.7,29,11,0.0,0.0,0,8,27,15,0,0,27
Florida,0,0.6,14,5,0.0,22.9,0,7,13,7,0,21,21
Georgia,0,0.5,18,6,0.0,22.7,0,6,17,8,0,21,21
Hawaii,0,0.6,7,18,0.0,0.0,0,7,7,25,0,0,25
Idaho,0,1.0,14,12,0.0,20.0,0,11,13,17,0,18,18
Illinois,0,0.7,26,9,0.0,29.3,0,8,25,13,0,27,27
Indiana,0,0.7,17,12,0.0,25.9,0,8,16,17,0,24,24
Iowa,0,0.5,10,6,0.0,23.9,0,6,9,8,0,22,22
Kansas,0,0.4,13,3,0.0,18.1,0,5,12,4,0,16,16
Kentucky,0,0.6,16,9,0.0,21.8,0,7,15,13,0,20,20
Louisiana,0,0.7,14,8,0.0,0.0,0,8,13,11,0,0,13
Maine,0,0.3,12,4,0.0,14.9,0,3,11,6,0,14,14
Maryland,0,0.5,26,11,0.0,20.3,0,6,25,15,0,18,25
Massachusetts,0,0.3,15,6,0.0,0.0,0,3,14,8,0,0,14
Michigan,0,0.3,23,8,0.0,36.7,0,3,22,11,0,33,33
Minnesota,0,0.3,10,2,0.0,23.5,0,3,9,3,0,21,21
Mississippi,0,0.4,8,4,0.0,0.0,0,5,8,6,0,0,8
Missouri,0,0.4,18,7,0.0,39.7,0,5,17,10,0,36,36
Montana,0,0.6,2,7,0.0,21.0,0,7,2,10,0,19,19
Nebraska,0,0.5,0,3,0.0,24.7,0,6,0,4,0,22,22
Nevada,0,0.6,19,2,0.0,29.7,0,7,18,3,0,27,27
New Hampshire,0,0.5,11,10,0.0,0.0,0,6,10,14,0,0,14
New Jersey,0,0.6,27,8,0.0,0.0,0,7,25,11,0,0,25
New Mexico,0,0.3,16,3,0.0,31.5,0,3,15,4,0,29,29
New York,0,0.5,30,8,0.0,11.6,0,6,28,11,0,11,28
North Carolina,0,0.6,21,7,0.0,21.0,0,7,20,10,0,19,20
North Dakota,0,0.0,5,4,0.0,13.0,0,0,5,6,0,12,12
Ohio,0,0.5,25,12,0.0,22.5,0,6,24,17,0,20,24
Oklahoma,0,0.2,11,7,0.0,19.9,0,2,10,10,0,18,18
Oregon,0,0.9,14,3,0.0,0.0,0,10,13,4,0,0,13
Pennsylvania,0,0.4,20,13,0.0,21.8,0,5,19,18,0,20,20
Rhode Island,0,0.5,13,9,0.0,0.0,0,6,12,13,0,0,13
South Carolina,0,0.3,13,4,0.0,28.0,0,3,12,6,0,26,26
South Dakota,0,0.0,11,1,0.0,34.5,0,0,10,1,0,31,31
Tennessee,0,0.6,17,10,0.0,41.0,0,7,16,14,0,37,37
Texas,0,0.5,15,5,0.0,37.6,0,6,14,7,0,34,34
Utah,0,0.8,30,5,0.0,0.0,0,9,28,7,0,0,28
Vermont,0,0.5,19,6,0.0,0.0,0,6,18,8,0,0,18
Virginia,0,0.4,21,7,0.0,0.0,0,5,20,10,0,0,20
Washington,0,1.0,18,4,0.0,20.6,0,11,17,6,0,19,19
West Virginia,0,0.6,25,20,0.0,25.6,0,7,24,28,0,23,28
Wisconsin,0,0.5,11,6,0.0,20.2,0,6,10,8,0,18,18
Wyoming,0,0.3,9,6,0.0,4.3,0,3,8,8,0,4,8
Puerto Rico,0,1.6,11,6,0.0,27.9,0,18,10,8,0,25,25
Virgin Islands,0,0.0,0,4,0.0,0.0,0,0,0,6,0,0,6
Country Of Mexico,0,0.9,29,4,0.0,72.4,0,10,27,6,0,60,60
Canada,0,0.0,9,6,0.0,0.0,0,0,8,8,0,0,8
