Year,State Name,Ozone Average,Carbon Average,Nitrogen Average,Sulfur Average,PM2.5 Average,PM10 Average,Ozone AQI,Carbon AQI,Nitrogen AQI,Sulfur AQI,PM2.5 AQI,PM10 AQI,Overall AQI
2023,Alabama,0,0.2,15,2,8.4,19.9,0,2,14,3,47,18,47
2023,Alaska,0,0.3,0,2,4.5,11.6,0,3,0,3,25,11,25
2023,Arizona,0,0.3,20,2,7.3,32.0,0,3,19,3,41,29,41
2023,Arkansas,0,0.4,6,1,11.0,0.0,0,5,6,1,55,0,55
2023,California,0,0.3,13,1,7.7,25.2,0,3,12,1,43,23,43
2023,Colorado,0,0.3,12,2,6.0,19.0,0,3,11,3,33,17,33
2023,Connecticut,0,0.3,16,0,7.5,14.9,0,3,15,0,42,14,42
2023,Delaware,0,0.0,14,0,8.9,0.0,0,0,13,0,49,0,49
2023,District Of Columbia,0,0.3,16,1,8.7,17.7,0,3,15,1,48,16,48
2023,Florida,0,0.3,12,2,7.1,18.5,0,3,11,3,39,17,39
2023,Georgia,0,0.5,19,2,10.0,18.4,0,6,18,3,53,17,53
2023,Hawaii,0,0.1,6,3,3.3,14.5,0,1,6,4,18,13,18
2023,Idaho,0,0.2,15,4,0.0,45.4,0,2,14,6,0,41,41
2023,Illinois,0,0.2,18,2,9.1,29.2,0,2,17,3,51,27,51
2023,Indiana,0,0.3,11,2,10.4,21.0,0,3,10,3,53,19,53
2023,Iowa,0,0.2,6,1,10.8,34.9,0,2,6,1,54,32,54
2023,Kansas,0,0.1,8,0,8.1,24.7,0,1,8,0,45,22,45
2023,Kentucky,0,0.3,11,1,8.5,20.3,0,3,10,1,47,18,47
2023,Louisiana,0,0.3,9,2,9.0,19.7,0,3,8,3,50,18,50
2023,Maine,0,0.2,7,0,6.2,14.4,0,2,7,0,34,13,34
2023,Maryland,0,0.2,14,0,7.0,0.0,0,2,13,0,39,0,39
2023,Massachusetts,0,0.3,11,0,7.0,13.7,0,3,10,0,39,12,39
2023,Michigan,0,0.3,15,2,10.8,20.1,0,3,14,3,54,18,54
2023,Minnesota,0,0.3,11,1,7.9,21.8,0,3,10,1,44,20,44
2023,Mississippi,0,0.2,7,0,10.0,20.5,0,2,7,0,53,19,53
2023,Missouri,0,0.3,14,10,9.6,24.7,0,3,13,14,52,22,52
2023,Montana,0,0.2,3,2,7.6,18.6,0,2,3,3,42,17,42
2023,Nebraska,0,0.2,0,2,7.2,21.1,0,2,0,3,40,19,40
2023,Nevada,0,0.3,20,1,5.1,21.0,0,3,19,1,28,19,28
2023,New Hampshire,0,0.2,4,1,5.9,11.2,0,2,4,1,33,10,33
2023,New Jersey,0,0.4,18,1,8.8,0.0,0,5,17,1,49,0,49
2023,New Mexico,0,0.2,11,39,5.9,27.6,0,2,10,55,33,25,55
2023,New York,0,0.2,16,1,8.0,0.0,0,2,15,1,44,0,44
2023,North Carolina,0,0.3,10,0,8.6,13.9,0,3,9,0,48,13,48
2023,North Dakota,0,0.2,5,2,9.9,17.5,0,2,5,3,52,16,52
2023,Ohio,0,0.2,14,2,10.6,21.2,0,2,13,3,54,19,54
2023,Oklahoma,0,0.4,11,1,8.8,22.8,0,5,10,1,49,21,49
2023,Oregon,0,0.2,11,1,8.5,12.5,0,2,10,1,47,11,47
2023,Pennsylvania,0,0.3,13,2,9.7,16.6,0,3,12,3,52,15,52
2023,Rhode Island,0,0.3,12,0,7.0,0.0,0,3,11,0,39,0,39
2023,South Carolina,0,0.1,8,0,8.7,16.3,0,1,8,0,48,15,48
2023,South Dakota,0,0.2,9,0,7.1,20.3,0,2,8,0,39,18,39
2023,Tennessee,0,0.3,11,3,8.8,19.8,0,3,10,4,49,18,49
2023,Texas,0,0.3,11,2,9.2,31.0,0,3,10,3,51,28,51
2023,Utah,0,0.2,12,1,7.1,17.9,0,2,11,1,39,16,39
2023,Vermont,0,0.2,9,0,6.3,0.0,0,2,8,0,35,0,35
2023,Virginia,0,0.3,12,1,8.3,15.9,0,3,11,1,46,14,46
2023,Washington,0,0.2,18,1,7.4,18.7,0,2,17,1,41,17,41
2023,West Virginia,0,0.2,0,2,10.1,18.1,0,2,0,3,53,16,53
2023,Wisconsin,0,0.2,10,1,9.2,18.6,0,2,9,1,51,17,51
2023,Wyoming,0,0.1,5,1,3.8,11.3,0,1,5,1,21,10,21
2023,Puerto Rico,0,0.2,9,1,4.0,40.1,0,2,8,1,22,37,37
2023,Virgin Islands,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0
2023,Country Of Mexico,0,0.0,0,0,12.6,54.4,0,0,0,0,58,50,58
