Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,Arithmetic Standard Dev,Local Site Name,Address,State Name,County Name,City Name
40.83606,-73.92009,WGS84,Sample Flow Rate- CV,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Calculation,2003,Percent,115,95,0.269565,0.229864,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,Sample Volume,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Calculation,2003,Cubic meter,115,95,24.025217,0.052722,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,Ambient Min Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Electronic,2003,Degrees Centigrade,115,95,8.028696,9.97034,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,Ambient Max Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Electronic,2003,Degrees Centigrade,115,95,17.226087,10.763731,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,Average Ambient Temperature,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Electronic,2003,Degrees Centigrade,115,95,12.375652,10.113632,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,Sample Min Baro Pressure,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Barometric Sensor,2003,Millimeters (mercury),115,95,755.86087,6.457536,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,Sample Max Baro Pressure,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Barometric Sensor,2003,Millimeters (mercury),115,95,763.304348,5.341289,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,Average Ambient Pressure,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Barometric Sensor,2003,Millimeters (mercury),115,95,759.808696,5.82929,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,Elapsed Sample Time,24 HOUR,,Observed Values,R & P Model 2025 PM2.5 Sequent - Calculation,2003,Minutes,115,95,1439.486957,2.116623,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),115,95,15.72087,9.162706,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),115,95,15.72087,9.162706,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),115,95,15.72087,9.162706,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2024,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),115,95,15.72087,9.162706,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),115,95,15.72087,9.162706,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),115,95,15.72087,9.162706,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),115,95,15.72087,9.162706,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
40.83606,-73.92009,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2024,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),115,95,15.72087,9.162706,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York
