DATE,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
2000,627.963,4452.173,2678.588,5160.586,33987.977,4326.921,3411.777,786.373,16047.515,8227.303,1213.519,2929.067,1299.430,12434.161,6091.866,2693.681,4049.021,4471.885,6361.104,5311.034,1277.072,9952.450,4933.692,5607.285,2848.353,903.773,8081.614,642.023,1713.820,1239.882,8430.621,1821.204,2018.741,19001.780,11363.543,3454.365,3429.708,12284.173,1050.268,4024.223,755.844,5703.719,20944.499,2244.502,7105.817,609.618,5910.512,5373.999,1807.021,494.3
2001,633.714,4467.634,2691.571,5273.477,34479.458,4425.687,3432.835,795.699,16356.966,8377.038,1225.948,2931.997,1319.962,12488.445,6127.760,2702.162,4068.132,4477.875,6397.634,5374.691,1285.692,9991.120,4982.796,5641.142,2852.994,906.961,8210.122,639.062,1719.836,1255.517,8492.671,1831.690,2098.399,19082.838,11387.404,3467.100,3467.937,12298.970,1057.142,4064.995,757.972,5750.789,21319.622,2283.715,7198.362,612.223,5985.722,5406.835,1801.481,494.657
2002,642.337,4480.089,2705.927,5396.255,34871.843,4490.406,3458.749,806.169,16689.370,8508.256,1239.613,2934.234,1340.372,12525.556,6155.967,2713.535,4089.875,4497.267,6417.206,5440.389,1295.960,10015.710,5018.935,5674.825,2858.681,911.667,8326.201,638.168,1728.292,1269.089,8552.643,1855.309,2173.791,19137.800,11407.889,3489.080,3513.424,12331.031,1065.995,4107.795,760.02,5795.918,21690.325,2324.815,7286.873,615.442,6052.349,5445.162,1805.414,500.017
2003,648.414,4503.491,2724.816,5510.364,35253.159,4528.732,3484.336,818.003,17004.085,8622.793,1251.154,2941.999,1363.380,12556.006,6196.638,2723.004,4117.170,4521.042,6422.565,5496.269,1306.513,10041.152,5053.572,5709.403,2868.312,919.630,8422.501,638.817,1738.643,1279.840,8601.402,1877.574,2248.850,19175.939,11434.788,3504.892,3547.376,12374.658,1071.342,4150.297,763.729,5847.812,22030.931,2360.137,7366.977,617.858,6104.115,5479.203,1812.295,503.453
2004,659.286,4530.729,2749.686,5652.404,35574.576,4575.013,3496.094,830.803,17415.318,8769.252,1273.569,2953.635,1391.802,12589.773,6233.007,2734.373,4146.101,4552.238,6412.281,5546.935,1313.688,10055.315,5087.713,5747.741,2889.010,930.009,8553.152,644.705,1749.370,1290.121,8634.561,1903.808,2346.222,19171.567,11452.251,3525.233,3569.463,12410.722,1074.579,4210.921,770.396,5910.809,22394.023,2401.58,7475.575,619.92,6178.645,5514.026,1816.438,509.106
2005,666.946,4569.805,2781.097,5839.077,35827.943,4631.888,3506.956,845.150,17842.038,8925.922,1292.729,2964.454,1428.241,12609.903,6278.616,2745.299,4182.742,4576.628,6403.290,5592.379,1318.787,10051.137,5119.598,5790.300,2905.943,940.102,8705.407,646.089,1761.497,1298.492,8651.974,1932.274,2432.143,19132.610,11463.320,3548.597,3613.202,12449.990,1067.916,4270.150,775.493,5991.057,22778.123,2457.719,7577.105,621.215,6257.305,5546.166,1820.492,514.157
2006,675.302,4628.981,2821.761,6029.141,36021.202,4720.423,3517.460,859.268,18166.990,9155.813,1309.731,2982.644,1468.669,12643.955,6332.669,2762.931,4219.239,4302.665,6410.084,5627.367,1323.619,10036.081,5163.555,5842.704,2904.978,952.692,8917.270,649.422,1772.693,1308.389,8661.679,1962.137,2522.658,19104.631,11481.213,3594.090,3670.883,12510.809,1063.096,4357.847,783.033,6088.766,23359.58,2525.507,7673.725,622.892,6370.753,5577.655,1827.912,522.667
2007,680.300,4672.840,2848.650,6167.681,36250.311,4803.868,3527.270,871.749,18367.842,9349.988,1315.675,2999.212,1505.105,12695.866,6379.599,2783.785,4256.672,4375.581,6431.559,5653.408,1327.040,10001.284,5207.203,5887.612,2928.350,964.706,9118.037,652.822,1783.440,1312.540,8677.885,1990.070,2601.072,19132.335,11500.468,3634.349,3722.417,12563.937,1057.315,4444.110,791.623,6175.727,23831.983,2597.746,7751,623.481,6461.587,5610.775,1834.052,534.876
2008,687.455,4718.206,2874.554,6280.362,36604.337,4889.730,3545.579,883.874,18527.305,9504.843,1332.213,3016.734,1534.320,12747.038,6424.806,2808.076,4289.878,4435.586,6468.967,5684.965,1330.509,9946.889,5247.018,5923.916,2947.806,976.415,9309.449,657.569,1796.378,1315.906,8711.090,2010.662,2653.630,19212.436,11515.391,3668.976,3768.748,12612.285,1055.003,4528.996,799.124,6247.411,24309.039,2663.029,7833.496,624.151,6562.231,5640.996,1840.31,546.043
2009,698.895,4757.938,2896.843,6343.154,36961.229,4972.195,3561.807,891.730,18652.644,9620.846,1346.717,3032.870,1554.439,12796.778,6459.325,2832.704,4317.074,4491.648,6517.613,5730.388,1329.590,9901.591,5281.203,5961.088,2958.774,983.982,9449.566,664.968,1812.683,1316.102,8755.602,2036.802,2684.665,19307.066,11528.896,3717.572,3808.600,12666.858,1053.646,4589.872,807.067,6306.019,24801.761,2723.421,7925.937,624.817,6667.426,5669.264,1847.775,559.851
2010,713.982,4785.514,2921.998,6407.342,37319.550,5047.539,3579.173,899.647,18846.143,9712.209,1364.004,3050.819,1570.819,12840.545,6490.555,2858.266,4348.464,4544.635,6566.440,5788.784,1327.651,9877.597,5310.934,5996.089,2970.615,990.730,9574.586,674.752,1829.591,1316.807,8799.451,2064.614,2702.483,19399.956,11539.449,3760.014,3837.614,12711.406,1053.994,4635.846,816.193,6355.518,25241.897,2775.413,8024.004,625.886,6743.009,5690.538,1854.265,564.531
2011,722.349,4799.642,2941.038,6473.416,37636.311,5121.900,3588.632,907.590,19055.607,9803.630,1379.562,3066.772,1584.272,12867.783,6517.250,2869.677,4370.817,4576.244,6614.218,5840.241,1328.473,9883.053,5346.620,6011.182,2979.147,997.518,9658.913,685.526,1840.914,1320.444,8828.552,2080.707,2713.114,19499.921,11545.735,3788.824,3872.672,12747.052,1053.829,4672.655,823.74,6400.298,25645.504,2814.797,8102.437,627.197,6827.479,5705.84,1856.606,567.491
2012,730.810,4816.632,2952.876,6556.344,37944.551,5193.660,3595.211,915.518,19302.016,9903.580,1395.199,3076.844,1595.910,12883.029,6538.989,2886.024,4387.865,4602.067,6664.269,5888.375,1328.094,9898.289,5377.500,6026.027,2984.599,1004.168,9751.810,702.227,1853.691,1324.677,8845.671,2087.715,2744.670,19574.362,11550.971,3819.320,3900.102,12769.123,1054.893,4719.027,833.859,6455.752,26084.12,2854.146,8187.456,626.361,6898.599,5720.825,1857.446,576.656
